n,p,approx,rep,seed,wall_s,test_RMSE,sigma,lambda,nystrom_m
2000,10,exact,1,20260519,0.589,1.01777495085221,13.7441564019524,2.22044607400256,NA
2000,10,exact,2,20260521,0.519,0.822597034587345,13.6525062904563,2.22044607402971,NA
2000,10,exact,3,20260523,0.52,0.789760866243023,13.9766613590611,2.22044607393471,NA
2000,10,exact,4,20260525,0.483,0.872086576451248,13.452123155137,2.22044607409757,NA
2000,10,exact,5,20260527,0.459,0.756624126042027,13.5801279480966,2.22044607402971,NA
5000,10,exact,1,20260529,10.227,0.622755123953047,13.5787266361709,2.22044607295053,NA
5000,10,exact,2,20260531,10.08,0.642272602122012,13.6459265990847,2.22044607295053,NA
5000,10,exact,3,20260533,10.002,0.720320807946273,13.476687931609,2.22044607299719,NA
5000,10,exact,4,20260535,10.068,0.881169722652606,13.5768499712884,2.22044607296608,NA
5000,10,exact,5,20260537,10.083,0.652817116331282,13.771664695337,2.22044607291424,NA
2000,10,nystrom,1,20260519,0.0519999999999996,0.983044997202178,13.7441564019524,0.30000093620447,135
2000,10,nystrom,2,20260521,0.0560000000000045,0.867121456507266,13.6525062904563,0.300000083928664,135
2000,10,nystrom,3,20260523,0.0570000000000022,0.777959900787795,13.9766613590611,0.300000085974965,135
2000,10,nystrom,4,20260525,0.0629999999999953,0.871872302439797,13.452123155137,0.250000349579777,135
2000,10,nystrom,5,20260527,0.054000000000002,0.777083697455451,13.5801279480966,0.250000574844144,135
5000,10,nystrom,1,20260529,0.311999999999998,0.677957888681162,13.5787266361709,1.10000004947371,213
5000,10,nystrom,2,20260531,0.307000000000002,0.682978516535333,13.6459265990847,1.10000003049965,213
5000,10,nystrom,3,20260533,0.329000000000001,0.748923931843285,13.476687931609,1.00000004878238,213
5000,10,nystrom,4,20260535,0.332000000000001,0.917243955658878,13.5768499712884,1.00000004917327,213
5000,10,nystrom,5,20260537,0.333000000000006,0.684202534409179,13.771664695337,1.1000000498818,213
