"dgp","n","earth_t","earth_mse","ares_t","ares_mse","autotune_t","autotune_mse","autotune_degree","ranger_t","ranger_mse"
"friedman1",500,0.018,1.33781828993086,0.00700000000000012,1.57772186322355,0.425,4.18203476274847,1,0.028,7.64792413068926
"friedman1",1500,0.0330000000000004,1.14334693449846,0.0130000000000003,1.13810070245529,0.353,1.10643846596954,2,0.0660000000000003,4.63501564180484
"friedman2",500,0.00599999999999978,14417.0647659098,0.00499999999999989,16088.0696101794,0.257,14085.0466172401,2,0.0149999999999997,17412.2375262386
"friedman2",1500,0.00499999999999989,16774.7001893585,0.00300000000000011,16553.6347678414,0.29,16553.6347678414,2,0.0689999999999995,19202.9470677619
"additive",500,0.00700000000000056,0.318728176468604,0.00499999999999989,0.325543125896946,0.0869999999999997,0.303983008104675,1,0.0170000000000003,0.489243999096006
"additive",1500,0.0119999999999996,0.288444530874472,0.00699999999999967,0.287193744612308,1.237,0.287193744612308,2,0.0599999999999996,0.369930449226083
"interaction",500,0.00499999999999989,0.311866976193563,0.00499999999999989,0.340756187453379,0.117,0.312914621510786,2,0.0149999999999997,0.866208990690051
"interaction",1500,0.00800000000000001,0.292026288181424,0.00600000000000023,0.296546995337677,0.162,0.296546995337677,2,0.0510000000000002,0.46191048806845
"highdim",500,0.0310000000000006,0.360024398720707,0.0209999999999999,0.421256750974304,0.355,0.383873165946586,2,0.0220000000000002,1.50366646777307
"highdim",1500,0.0989999999999993,0.294843798825498,0.0199999999999996,0.322874521325019,2.259,0.290167314791175,2,0.0849999999999991,1.04801628527331
