"cell_id","n","p","setup","n_reps","median_s","min_s","mem_alloc_b","det_ok","rmse_te","lambda","sigma","R2","tag","iter","timestamp"
"n400_p5__default",400,5,"default",2,0.290822363516781,0.0314211670774966,14224752,TRUE,3.31166859875787,0.230977712038179,6.84954731264467,0.796025559913911,"v0.26-krls-iter-02",2,"2026-05-24 23:57:58"
"n400_p5__gcv",400,5,"gcv",2,0.0338012600550428,0.0331985140219331,14033808,TRUE,3.30863146788391,0.254364891362698,6.84954731264467,0.793181376781794,"v0.26-krls-iter-02",2,"2026-05-24 23:57:58"
"n400_p5__autotune_fast",400,5,"autotune_fast",2,0.801826540555339,0.751374544110149,37980968,TRUE,3.31166859875787,0.230977712038179,6.84954731264467,0.796025559913911,"v0.26-krls-iter-02",2,"2026-05-24 23:57:58"
"n800_p10__default",800,10,"default",2,0.153169959026854,0.138601004029624,51021384,TRUE,3.30289375041536,2.22044611732305,13.9732501318527,0.710244428627672,"v0.26-krls-iter-02",2,"2026-05-24 23:57:58"
"n800_p10__gcv",800,10,"gcv",2,0.127747099963017,0.119849796989001,51021384,TRUE,3.30289727744348,2.22050343450125,13.9732501318527,0.710242563966573,"v0.26-krls-iter-02",2,"2026-05-24 23:57:58"
"n800_p10__autotune_fast",800,10,"autotune_fast",2,5.50377185351681,5.49195525201503,144864104,TRUE,3.31368260412986,0.464255294763953,6.98662506592637,0.88420263703539,"v0.26-krls-iter-02",2,"2026-05-24 23:57:58"
"n1500_p10__default",1500,10,"default",2,0.483889714581892,0.479038601042703,169289032,TRUE,3.03094515214982,2.22044609809876,14.0611144993403,0.699949024293177,"v0.26-krls-iter-02",2,"2026-05-24 23:57:58"
"n1500_p10__gcv",1500,10,"gcv",2,0.412740665662568,0.381860074121505,169289032,TRUE,3.03094972276856,2.22051267858033,14.0611144993403,0.699947311431961,"v0.26-krls-iter-02",2,"2026-05-24 23:57:58"
"n1500_p10__autotune_fast",1500,10,"autotune_fast",2,38.2285024040029,38.1757502669934,497030568,TRUE,3.03094515214982,2.22044609809876,14.0611144993403,0.699949024293177,"v0.26-krls-iter-02",2,"2026-05-24 23:57:58"
